dataset,masking_prob,seen_f1,unseen_f1,seen_precision,unseen_precision,seen_recall,unseen_recall
conll,0.0,0.9531,0.8292,0.9773,0.8031,0.9301,0.8570
conll,0.025,0.9532,0.8285,0.9770,0.8039,0.9305,0.8547
conll,0.05,0.9524,0.8280,0.9769,0.8023,0.9291,0.8555
conll,0.1,0.9513,0.8260,0.9769,0.8005,0.9271,0.8533
conll,0.2,0.9504,0.8238,0.9779,0.7993,0.9244,0.8499
conll,0.4,0.9458,0.8200,0.9787,0.7964,0.9150,0.8451
conll,0.6,0.9313,0.8067,0.9770,0.7764,0.8896,0.8395
conll,0.8,0.9105,0.7823,0.9757,0.7499,0.8535,0.8175
wikiann,0.0,0.6362,0.4596,0.4794,0.4525,0.9456,0.4669
wikiann,0.025,0.6343,0.4573,0.4783,0.4500,0.9414,0.4647
wikiann,0.05,0.6352,0.4557,0.4791,0.4487,0.9422,0.4629
wikiann,0.1,0.6326,0.4555,0.4768,0.4489,0.9397,0.4624
wikiann,0.2,0.6286,0.4519,0.4735,0.4464,0.9347,0.4575
wikiann,0.4,0.6230,0.4472,0.4720,0.4435,0.9162,0.4510
wikiann,0.6,0.6186,0.4417,0.4707,0.4404,0.9020,0.4430
wikiann,0.8,0.6209,0.4242,0.4781,0.4296,0.8853,0.4190 
